Brand,Room_Size_in_Sq/f,Stars,Tons,Power_Usage_in_Watts,Launch_Year,Price,Original_Price,Discount(%),Warranty_in_Years,Ratings,No_of_Ratings,No_of_Reviews
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,150,3.0,1.5,1039.98,2019,32850,55600,40,1.0,4.2,76440,6627
Haier,150,3.0,1.5,859.325,2025,27990,39900,29,1.0,3.9,409,36
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
CARRIER,90,3.0,1.0,1595.0,2021,32450,45999,29,1.0,4.2,13025,1541
Daikin,90,4.0,1.0,680.58,2021,34859,50700,31,1.0,4.3,396,41
Blue Star,90,3.0,1.0,681.21,2023,31599,46250,31,1.0,4.1,4401,411
Lloyd,150,3.0,1.5,999.69,2022,34490,66000,47,1.0,4.1,19215,2111
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Blue Star,90,5.0,1.0,600.91,2021,38650,58999,34,1.0,4.1,2223,226
Blue Star,150,3.0,1.5,975.37,2021,36540,59000,38,1.0,4.1,24469,2069
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Blue Star,150,3.0,1.5,1012.44,2024,33850,60500,44,1.0,4.1,24469,2069
Haier,90,2.0,1.0,752.43,2022,49943,52490,4,1.0,4.0,102,12
Electrolux,150,5.0,1.5,758.6,2023,73990,57798,40,1.0,3.8,24,5
O-General,150,5.0,1.5,859.325,2023,41900,44630,6,1.0,4.1,7833,861
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Blue Star,150,3.0,1.5,1026.37,2024,33490,63500,47,1.0,4.1,24469,2069
Godrej,200,3.0,2.0,1276.27,2024,64939,109000,40,5.0,4.1,7833,861
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Blue Star,150,3.0,1.5,1076.23,2022,33850,52250,35,1.0,4.1,24456,2068
Voltas,150,3.0,1.5,859.325,2023,42050,80990,48,1.0,4.1,7833,861
Haier,200,5.0,1.6,828.37,2023,42850,79990,46,5.0,4.1,179,16
O-General,90,4.0,1.0,1560.0,2021,36926,42680,13,1.0,2.0,6,0
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Godrej,150,3.0,1.5,1123.23,2021,29599,45990,35,1.0,4.0,18307,1520
Hitachi,150,3.0,1.5,1024.34,2023,37039,63100,41,1.0,4.0,10198,1239
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Whirlpool,150,5.0,1.5,867.41,2020,36050,62433,42,1.0,4.2,20918,2369
Lloyd,150,3.0,1.5,1222.32,2022,49005,52999,7,1.0,4.1,3118,334
O-General,200,3.0,2.0,859.325,2023,73386,77900,5,1.0,4.1,7833,861
Hitachi,200,2.0,2.0,859.325,2024,43290,66900,35,1.0,3.7,35,4
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Blue Star,150,5.0,1.5,774.88,2022,39850,74500,46,1.0,4.2,12556,1070
BLACK+DECKER,150,5.0,1.5,706.85,2024,42999,66999,35,2.0,2.3,3,1
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Lloyd,150,3.0,1.5,859.325,2025,31799,55990,43,1.0,4.1,19215,2111
Voltas,150,3.0,1.5,859.325,2024,31990,64990,50,1.0,4.2,76440,6627
